name,region,year,income,population,lifeExpectancy
Cyprus,Europe & Central Asia,1800,572.78,184392.0,38.5
Denmark,Europe & Central Asia,1800,1342.84,1292034.5833333333,35.0
Estonia,Europe & Central Asia,1800,906.39,334136.0,36.5
Finland,Europe & Central Asia,1800,1037.69,1292034.5833333333,31.8
France,Europe & Central Asia,1800,1388.32,1292034.5833333333,32.4
Georgia,Europe & Central Asia,1800,571.2,1072178.0,35.22486486486486
Germany,Europe & Central Asia,1800,1695.68,1292034.5833333333,38.37
Greece,Europe & Central Asia,1800,934.41,1292034.5833333333,36.6
Hungary,Europe & Central Asia,1800,1390.67,1292034.5833333333,36.0
Iceland,Europe & Central Asia,1800,801.9,61428.0,32.4
Ireland,Europe & Central Asia,1800,1213.16,1292034.5833333333,37.7
Italy,Europe & Central Asia,1800,1339.84,1292034.5833333333,29.01
Kazakhstan,Europe & Central Asia,1800,585.03,2041282.0,26.2
Latvia,Europe & Central Asia,1800,865.19,590588.0,33.0
Lithuania,Europe & Central Asia,1800,988.79,778655.0,28.9
Luxembourg,Europe & Central Asia,1800,1145.57,127030.0,36.9
"Macedonia, FYR",Europe & Central Asia,1800,800.76,391865.0,35.22486486486486
Malta,Europe & Central Asia,1800,515.5,134072.0,35.22486486486486
Moldova,Europe & Central Asia,1800,617.12,712558.0,35.22486486486486
Montenegro,Europe & Central Asia,1800,1112.36,126582.0,35.4
Netherlands,Europe & Central Asia,1800,2412.43,1292034.5833333333,39.86
Norway,Europe & Central Asia,1800,950.0,1292034.5833333333,38.8
Poland,Europe & Central Asia,1800,1198.39,1292034.5833333333,35.9
Portugal,Europe & Central Asia,1800,1284.41,1292034.5833333333,35.6
Romania,Europe & Central Asia,1800,1093.92,1292034.5833333333,35.7
Serbia,Europe & Central Asia,1800,1308.87,2147197.0,35.5
Slovak Republic,Europe & Central Asia,1800,1197.6,2140651.0,36.4
Slovenia,Europe & Central Asia,1800,1357.95,469664.0,36.6
Spain,Europe & Central Asia,1800,1443.02,1292034.5833333333,29.5
Sweden,Europe & Central Asia,1800,1100.0,1292034.5833333333,32.16
Switzerland,Europe & Central Asia,1800,1612.48,1292034.5833333333,38.0
Tajikistan,Europe & Central Asia,1800,428.48,466629.0,35.22486486486486
Turkey,Europe & Central Asia,1800,869.92,1292034.5833333333,35.0
Turkmenistan,Europe & Central Asia,1800,513.35,367215.0,35.22486486486486
Ukraine,Europe & Central Asia,1800,807.51,11215490.0,36.6
United Kingdom,Europe & Central Asia,1800,2716.87,1292034.5833333333,40.02
Uzbekistan,Europe & Central Asia,1800,346.43,1919159.0,35.22486486486486
Australia,East Asia & Pacific,1800,671.48,1540372.9583333333,34.05
Brunei,East Asia & Pacific,1800,1011.68,2128.0,29.2
Cambodia,East Asia & Pacific,1800,809.23,2090000.0,35.0
China,East Asia & Pacific,1800,985.89,1540372.9583333333,32.0
Fiji,East Asia & Pacific,1800,472.12,130533.0,26.1
French Polynesia,East Asia & Pacific,1800,809.34,62530.0,30.484999999999996
"Hong Kong, China",East Asia & Pacific,1800,790.15,20000.0,30.484999999999996
Indonesia,East Asia & Pacific,1800,514.12,1540372.9583333333,30.0
Japan,East Asia & Pacific,1800,1055.06,1540372.9583333333,36.4
"Korea, Dem. Rep.",East Asia & Pacific,1800,698.0,4345000.0,26.0
"Korea, Rep.",East Asia & Pacific,1800,596.0,9395000.0,25.8
"Macao, China",East Asia & Pacific,1800,607.01,1540372.9583333333,30.484999999999996
Malaysia,East Asia & Pacific,1800,750.13,287000.0,30.6
"Micronesia, Fed. Sts.",East Asia & Pacific,1800,553.05,16416.0,30.484999999999996
Mongolia,East Asia & Pacific,1800,606.93,619000.0,31.8
Myanmar,East Asia & Pacific,1800,569.07,3506000.0,30.8
New Caledonia,East Asia & Pacific,1800,944.24,29432.0,30.484999999999996
New Zealand,East Asia & Pacific,1800,541.62,1540372.9583333333,34.05
Papua New Guinea,East Asia & Pacific,1800,573.29,754894.0,31.5
Philippines,East Asia & Pacific,1800,626.97,2176000.0,30.9
Samoa,East Asia & Pacific,1800,1308.44,47300.0,30.484999999999996
Singapore,East Asia & Pacific,1800,861.82,30000.0,29.1
Solomon Islands,East Asia & Pacific,1800,387.81,56998.0,25.7
Taiwan,East Asia & Pacific,1800,871.0,2000000.0,28.3
Thailand,East Asia & Pacific,1800,496.98,4665000.0,30.4
Timor-Leste,East Asia & Pacific,1800,514.12,137262.0,30.484999999999996
Tokelau,East Asia & Pacific,1800,709.7431034482757,1009.0,30.484999999999996
Tonga,East Asia & Pacific,1800,667.71,18658.0,30.484999999999996
Vietnam,East Asia & Pacific,1800,459.71,6551000.0,32.0
Vanuatu,East Asia & Pacific,1800,829.58,27791.0,30.484999999999996
Costa Rica,America,1801,1948.59,53000.0,54.94365044330598
Honduras,America,1801,1948.59,130000.0,54.94365044330598
United States,America,1801,1948.59,91500.0,54.94365044330598
Greece,Europe & Central Asia,1801,935.9,23311478.319254495,36.9
Italy,Europe & Central Asia,1801,1322.44,23311478.319254495,36.9
Netherlands,Europe & Central Asia,1801,2410.19,23311478.319254495,36.9
Sweden,Europe & Central Asia,1801,1105.0,23311478.319254495,36.9
Switzerland,Europe & Central Asia,1801,1615.2,23311478.319254495,36.9
United Kingdom,Europe & Central Asia,1801,2736.98,23311478.319254495,36.9
United States,America,1802,1981.63,23311478.319254495,54.94365044330598
Greece,Europe & Central Asia,1802,937.38,23311478.319254495,40.2
Italy,Europe & Central Asia,1802,1365.94,23311478.319254495,40.2
Netherlands,Europe & Central Asia,1802,2407.94,23311478.319254495,40.2
Sweden,Europe & Central Asia,1802,1159.0,23311478.319254495,40.2
Switzerland,Europe & Central Asia,1802,1617.94,23311478.319254495,40.2
United Kingdom,Europe & Central Asia,1802,2740.53,23311478.319254495,40.2
United States,America,1803,1946.61,23311478.319254495,54.94365044330598
Greece,Europe & Central Asia,1803,938.87,23311478.319254495,40.150000000000006
Italy,Europe & Central Asia,1803,1405.09,23311478.319254495,40.150000000000006
Netherlands,Europe & Central Asia,1803,2405.7,23311478.319254495,40.150000000000006
Sweden,Europe & Central Asia,1803,1141.0,23311478.319254495,40.28
Switzerland,Europe & Central Asia,1803,1620.67,23311478.319254495,40.150000000000006
United Kingdom,Europe & Central Asia,1803,2744.1,23311478.319254495,40.02
Cuba,America,1804,1944.22,23311478.319254495,32.7
United States,America,1804,1944.22,23311478.319254495,32.7
Greece,Europe & Central Asia,1804,940.36,23311478.319254495,39.7
Italy,Europe & Central Asia,1804,1465.99,23311478.319254495,39.7
Netherlands,Europe & Central Asia,1804,2403.46,23311478.319254495,39.7
Sweden,Europe & Central Asia,1804,1081.0,23311478.319254495,39.7
Switzerland,Europe & Central Asia,1804,1623.42,23311478.319254495,39.7
United Kingdom,Europe & Central Asia,1804,2747.66,23311478.319254495,39.7
United States,America,1805,1987.88,23311478.319254495,54.94365044330598
Finland,Europe & Central Asia,1805,1713.1016666666667,23311478.319254495,31.77
Greece,Europe & Central Asia,1805,941.85,23311478.319254495,36.41
Italy,Europe & Central Asia,1805,1418.14,23311478.319254495,36.41
Netherlands,Europe & Central Asia,1805,2401.22,23311478.319254495,36.41
Sweden,Europe & Central Asia,1805,1140.0,23311478.319254495,41.05
Switzerland,Europe & Central Asia,1805,1626.16,23311478.319254495,36.41
United Kingdom,Europe & Central Asia,1805,2751.24,23311478.319254495,36.41
United States,America,1806,2024.49,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1806,1721.83,23311478.319254495,35.0
Greece,Europe & Central Asia,1806,943.34,23311478.319254495,35.585
Italy,Europe & Central Asia,1806,1452.94,23311478.319254495,35.585
Netherlands,Europe & Central Asia,1806,2398.98,23311478.319254495,35.585
Sweden,Europe & Central Asia,1806,1152.0,23311478.319254495,36.17
Switzerland,Europe & Central Asia,1806,1628.91,23311478.319254495,35.585
United Kingdom,Europe & Central Asia,1806,2754.81,23311478.319254495,35.585
United States,America,1807,2045.45,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1807,1712.5816666666667,23311478.319254495,34.2
Greece,Europe & Central Asia,1807,944.84,23311478.319254495,36.480000000000004
Italy,Europe & Central Asia,1807,1426.84,23311478.319254495,36.480000000000004
Netherlands,Europe & Central Asia,1807,2396.75,23311478.319254495,36.480000000000004
Sweden,Europe & Central Asia,1807,1117.0,23311478.319254495,38.76
Switzerland,Europe & Central Asia,1807,1631.67,23311478.319254495,36.480000000000004
United Kingdom,Europe & Central Asia,1807,2758.39,23311478.319254495,36.480000000000004
United States,America,1808,1896.7,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1808,1671.26,23311478.319254495,34.5
Greece,Europe & Central Asia,1808,946.33,23311478.319254495,35.07666666666667
Italy,Europe & Central Asia,1808,1509.5,23311478.319254495,35.07666666666667
Netherlands,Europe & Central Asia,1808,2140.32,23311478.319254495,35.07666666666667
Sweden,Europe & Central Asia,1808,1035.0,23311478.319254495,30.15
Switzerland,Europe & Central Asia,1808,1634.43,23311478.319254495,35.07666666666667
United Kingdom,Europe & Central Asia,1808,2761.98,23311478.319254495,40.58
Cuba,America,1809,1993.22,23311478.319254495,33.5
United States,America,1809,1993.22,23311478.319254495,33.5
France,Europe & Central Asia,1809,1669.4766666666667,23311478.319254495,35.0
Greece,Europe & Central Asia,1809,947.84,23311478.319254495,30.95
Italy,Europe & Central Asia,1809,1513.85,23311478.319254495,30.95
Netherlands,Europe & Central Asia,1809,2115.41,23311478.319254495,30.95
Sweden,Europe & Central Asia,1809,1037.0,23311478.319254495,26.9
Switzerland,Europe & Central Asia,1809,1637.19,23311478.319254495,30.95
United Kingdom,Europe & Central Asia,1809,2765.57,23311478.319254495,30.95
United States,America,1810,2050.52,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1810,1719.4083333333335,23311478.319254495,37.4
Greece,Europe & Central Asia,1810,949.34,23311478.319254495,34.695
Italy,Europe & Central Asia,1810,1396.39,23311478.319254495,34.695
Netherlands,Europe & Central Asia,1810,2430.6,23311478.319254495,34.695
Sweden,Europe & Central Asia,1810,1131.0,23311478.319254495,31.99
Switzerland,Europe & Central Asia,1810,1639.96,23311478.319254495,34.695
United Kingdom,Europe & Central Asia,1810,2769.16,23311478.319254495,34.695
United States,America,1811,2093.55,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1811,1731.9566666666667,23311478.319254495,36.1
Greece,Europe & Central Asia,1811,950.84,23311478.319254495,35.34
Italy,Europe & Central Asia,1811,1352.89,23311478.319254495,35.34
Netherlands,Europe & Central Asia,1811,2463.51,23311478.319254495,35.34
Sweden,Europe & Central Asia,1811,1209.0,23311478.319254495,34.58
Switzerland,Europe & Central Asia,1811,1642.74,23311478.319254495,35.34
United Kingdom,Europe & Central Asia,1811,2772.76,23311478.319254495,35.34
United States,America,1812,2056.15,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1812,1672.9816666666666,23311478.319254495,31.7
Greece,Europe & Central Asia,1812,952.35,23311478.319254495,33.385
Italy,Europe & Central Asia,1812,1378.99,23311478.319254495,33.385
Netherlands,Europe & Central Asia,1812,2148.66,23311478.319254495,33.385
Sweden,Europe & Central Asia,1812,1136.0,23311478.319254495,35.07
Switzerland,Europe & Central Asia,1812,1645.52,23311478.319254495,33.385
United Kingdom,Europe & Central Asia,1812,2776.37,23311478.319254495,33.385
United States,America,1813,2079.25,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1813,1650.9716666666666,23311478.319254495,31.2
Greece,Europe & Central Asia,1813,953.86,23311478.319254495,36.31333333333333
Italy,Europe & Central Asia,1813,1418.14,23311478.319254495,36.31333333333333
Netherlands,Europe & Central Asia,1813,1937.55,23311478.319254495,36.31333333333333
Sweden,Europe & Central Asia,1813,1168.0,23311478.319254495,36.49
Switzerland,Europe & Central Asia,1813,1648.3,23311478.319254495,36.31333333333333
United Kingdom,Europe & Central Asia,1813,2779.98,23311478.319254495,41.25
Cuba,America,1814,2119.35,23311478.319254495,34.2
United States,America,1814,2119.35,23311478.319254495,34.2
France,Europe & Central Asia,1814,1648.4033333333334,23311478.319254495,30.1
Greece,Europe & Central Asia,1814,955.38,23311478.319254495,34.335
Italy,Europe & Central Asia,1814,1435.54,23311478.319254495,34.335
Netherlands,Europe & Central Asia,1814,1872.82,23311478.319254495,34.335
Sweden,Europe & Central Asia,1814,1192.0,23311478.319254495,38.57
Switzerland,Europe & Central Asia,1814,1651.09,23311478.319254495,34.335
United Kingdom,Europe & Central Asia,1814,2783.59,23311478.319254495,34.335
Puerto Rico,America,1815,2111.19,221000.0,54.94365044330598
United States,America,1815,2111.19,221000.0,54.94365044330598
Finland,Europe & Central Asia,1815,1745.6633333333332,23311478.319254495,35.77
France,Europe & Central Asia,1815,1745.6633333333332,23311478.319254495,36.5
Greece,Europe & Central Asia,1815,956.89,23311478.319254495,37.8725
Italy,Europe & Central Asia,1815,1374.64,23311478.319254495,37.8725
Netherlands,Europe & Central Asia,1815,2485.36,23311478.319254495,37.8725
Norway,Europe & Central Asia,1815,1745.6633333333332,23311478.319254495,38.8
Sweden,Europe & Central Asia,1815,1216.0,23311478.319254495,40.42
Switzerland,Europe & Central Asia,1815,1653.88,23311478.319254495,37.8725
United Kingdom,Europe & Central Asia,1815,2787.21,23311478.319254495,37.8725
United States,America,1816,2023.09,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1816,1724.2916666666667,23311478.319254495,40.04
Greece,Europe & Central Asia,1816,958.41,23311478.319254495,40.89
Italy,Europe & Central Asia,1816,1352.89,23311478.319254495,40.89
Netherlands,Europe & Central Asia,1816,2369.94,23311478.319254495,40.89
Sweden,Europe & Central Asia,1816,1217.0,23311478.319254495,41.74
Switzerland,Europe & Central Asia,1816,1656.68,23311478.319254495,40.89
United Kingdom,Europe & Central Asia,1816,2790.83,23311478.319254495,40.89
Cuba,America,1817,2021.75,572000.0,54.94365044330598
United States,America,1817,2021.75,572000.0,54.94365044330598
France,Europe & Central Asia,1817,1725.5183333333334,23311478.319254495,39.18
Greece,Europe & Central Asia,1817,959.93,23311478.319254495,39.735
Italy,Europe & Central Asia,1817,1365.94,23311478.319254495,39.735
Netherlands,Europe & Central Asia,1817,2397.3,23311478.319254495,39.735
Sweden,Europe & Central Asia,1817,1176.0,23311478.319254495,40.29
Switzerland,Europe & Central Asia,1817,1659.48,23311478.319254495,39.735
United Kingdom,Europe & Central Asia,1817,2794.46,23311478.319254495,39.735
United States,America,1818,2027.3,23311478.319254495,54.94365044330598
France,Europe & Central Asia,1818,1749.5633333333333,23311478.319254495,38.53
Greece,Europe & Central Asia,1818,961.45,23311478.319254495,39.796666666666674
Italy,Europe & Central Asia,1818,1465.99,23311478.319254495,39.796666666666674
Netherlands,Europe & Central Asia,1818,2439.55,23311478.319254495,39.796666666666674
Sweden,Europe & Central Asia,1818,1170.0,23311478.319254495,40.02
Switzerland,Europe & Central Asia,1818,1662.29,23311478.319254495,39.796666666666674
United Kingdom,Europe & Central Asia,1818,2798.1,23311478.319254495,40.84
Cuba,America,1819,2023.02,23311478.319254495,34.7
United States,America,1819,2023.02,23311478.319254495,34.7
France,Europe & Central Asia,1819,1728.9566666666667,23311478.319254495,37.25
Greece,Europe & Central Asia,1819,962.98,23311478.319254495,37.11
Italy,Europe & Central Asia,1819,1457.29,23311478.319254495,37.11
Netherlands,Europe & Central Asia,1819,2329.64,23311478.319254495,37.11
Sweden,Europe & Central Asia,1819,1157.0,23311478.319254495,36.97
Switzerland,Europe & Central Asia,1819,1665.1,23311478.319254495,37.11
United Kingdom,Europe & Central Asia,1819,2801.73,23311478.319254495,37.11
Singapore,East Asia & Pacific,1819,5700.687917549288,23311478.319254495,29.1
Angola,Sub-Saharan Africa,1820,359.93,1567028.0,54.94365044330598
Benin,Sub-Saharan Africa,1820,553.72,636559.0,54.94365044330598
Botswana,Sub-Saharan Africa,1820,407.36,1490360.2368421052,54.94365044330598
Burkina Faso,Sub-Saharan Africa,1820,454.33,1665421.0,54.94365044330598
Burundi,Sub-Saharan Africa,1820,447.59,899097.0,54.94365044330598
Cameroon,Sub-Saharan Africa,1820,517.46,1860054.0,54.94365044330598
Cape Verde,Sub-Saharan Africa,1820,340.0,55716.0,54.94365044330598
Chad,Sub-Saharan Africa,1820,400.69,1490360.2368421052,54.94365044330598
Comoros,Sub-Saharan Africa,1820,800.61,56346.0,54.94365044330598
"Congo, Dem. Rep.",Sub-Saharan Africa,1820,394.03,5163819.0,54.94365044330598
"Congo, Rep.",Sub-Saharan Africa,1820,387.38,314465.0,54.94365044330598
Cote d'Ivoire,Sub-Saharan Africa,1820,549.19,1088530.0,54.94365044330598
Equatorial Guinea,Sub-Saharan Africa,1820,379.13,80377.0,54.94365044330598
Eritrea,Sub-Saharan Africa,1820,583.95,205010.0,54.94365044330598
Ethiopia,Sub-Saharan Africa,1820,619.21,2948990.0,54.94365044330598
Gabon,Sub-Saharan Africa,1820,377.54,158227.0,54.94365044330598
Ghana,Sub-Saharan Africa,1820,505.14,2016034.0,54.94365044330598
Guinea,Sub-Saharan Africa,1820,375.96,983959.0,54.94365044330598
Guinea-Bissau,Sub-Saharan Africa,1820,345.0,218167.0,54.94365044330598
Kenya,Sub-Saharan Africa,1820,512.93,1490360.2368421052,54.94365044330598
Lesotho,Sub-Saharan Africa,1820,364.0,276361.0,54.94365044330598
Liberia,Sub-Saharan Africa,1820,544.65,313543.0,54.94365044330598
Madagascar,Sub-Saharan Africa,1820,434.14,1683000.0,54.94365044330598
Malawi,Sub-Saharan Africa,1820,360.0,1490360.2368421052,54.94365044330598
Mali,Sub-Saharan Africa,1820,427.43,1403398.0,54.94365044330598
Mauritania,Sub-Saharan Africa,1820,374.38,382696.0,54.94365044330598
Mauritius,Sub-Saharan Africa,1820,799.61,1490360.2368421052,54.94365044330598
Mayotte,Sub-Saharan Africa,1820,473.27577777777776,8219.0,54.94365044330598
Mozambique,Sub-Saharan Africa,1820,358.0,2096000.0,54.94365044330598
Namibia,Sub-Saharan Africa,1820,350.0,1490360.2368421052,54.94365044330598
Niger,Sub-Saharan Africa,1820,371.26,1244861.0,54.94365044330598
Nigeria,Sub-Saharan Africa,1820,576.38,12100855.0,54.94365044330598
Reunion,Sub-Saharan Africa,1820,692.33,92744.0,54.94365044330598
Rwanda,Sub-Saharan Africa,1820,369.0,928368.0,54.94365044330598
Sao Tome and Principe,Sub-Saharan Africa,1820,674.7,22731.0,54.94365044330598
Senegal,Sub-Saharan Africa,1820,420.73,1009886.0,54.94365044330598
Sierra Leone,Sub-Saharan Africa,1820,508.4,794264.0,54.94365044330598
Somalia,Sub-Saharan Africa,1820,498.83,1000000.0,54.94365044330598
South Africa,Sub-Saharan Africa,1820,759.05,1550000.0,54.94365044330598
Sudan,Sub-Saharan Africa,1820,484.74,5156000.0,54.94365044330598
Swaziland,Sub-Saharan Africa,1820,414.04,1490360.2368421052,54.94365044330598
Tanzania,Sub-Saharan Africa,1820,470.64,3019768.0,54.94365044330598
Togo,Sub-Saharan Africa,1820,535.59,445985.0,54.94365044330598
Uganda,Sub-Saharan Africa,1820,461.08,2101397.0,54.94365044330598
Zambia,Sub-Saharan Africa,1820,364.46,1490360.2368421052,54.94365044330598
Zimbabwe,Sub-Saharan Africa,1820,372.82,1085814.0,54.94365044330598
Afghanistan,South Asia,1820,472.05,3280000.0,54.94365044330598
Bangladesh,South Asia,1820,606.0,20000000.0,54.94365044330598
Bhutan,South Asia,1820,539.56,392287.0,54.94365044330598
India,South Asia,1820,560.0,175349000.0,54.94365044330598
Maldives,South Asia,1820,472.12,42378.0,54.94365044330598
Nepal,South Asia,1820,419.18,3881000.0,54.94365044330598
Pakistan,South Asia,1820,662.0,13651000.0,54.94365044330598
Sri Lanka,South Asia,1820,453.6,1213000.0,54.94365044330598
Algeria,Middle East & North Africa,1820,765.88,2689000.0,54.94365044330598
Bahrain,Middle East & North Africa,1820,812.82,64474.0,54.94365044330598
Djibouti,Middle East & North Africa,1820,380.73,22848.0,54.94365044330598
Iraq,Middle East & North Africa,1820,700.0,1093000.0,54.94365044330598
Israel,Middle East & North Africa,1820,886.71,910523.1333333333,54.94365044330598
Jordan,Middle East & North Africa,1820,528.69,217000.0,54.94365044330598
Kuwait,Middle East & North Africa,1820,665.03,81280.0,54.94365044330598
Lebanon,Middle East & North Africa,1820,932.0,332000.0,54.94365044330598
Libya,Middle East & North Africa,1820,570.0,538000.0,54.94365044330598
Morocco,Middle East & North Africa,1820,497.17,2689000.0,54.94365044330598
Oman,Middle East & North Africa,1820,886.71,318000.0,54.94365044330598
Qatar,Middle East & North Africa,1820,591.14,14092.0,54.94365044330598
Saudi Arabia,Middle East & North Africa,1820,443.36,2091000.0,54.94365044330598
Tunisia,Middle East & North Africa,1820,517.32,875000.0,54.94365044330598
